"","PDG","PDT","bioproject"
"432","PDG000000004.1046","PDT000011726.2","PRJNA163387"
"433","PDG000000004.1046","PDT000011727.2","PRJNA163389"
"434","PDG000000004.1046","PDT000011736.2","PRJNA163433"
"435","PDG000000004.1046","PDT000011735.2","PRJNA163429"
"436","PDG000000004.1046","PDT000011737.2","PRJNA163437"
"437","PDG000000004.1046","PDT000011733.2","PRJNA163423"
"438","PDG000000004.1046","PDT000011732.2","PRJNA163421"
"439","PDG000000004.1046","PDT000011734.2","PRJNA163425"
"440","PDG000000004.1046","PDT000011739.2","PRJNA163441"
"441","PDG000000004.1046","PDT000011743.2","PRJNA163469"
"442","PDG000000004.1046","PDT000011741.2","PRJNA163453"
"443","PDG000000004.1046","PDT000011740.2","PRJNA163445"
"444","PDG000000004.1046","PDT000011738.2","PRJNA163439"
"445","PDG000000004.1046","PDT000011744.2","PRJNA163473"
"446","PDG000000004.1046","PDT000011742.2","PRJNA163461"
"447","PDG000000004.1046","PDT000011745.2","PRJNA163475"
"448","PDG000000004.1046","PDT000011746.2","PRJNA163477"
"449","PDG000000004.1046","PDT000011750.2","PRJNA164851"
